strain,len,n_true
AKR_J,100-500,1
AKR_J,500-1000,1
AKR_J,100-500,1
AKR_J,50-100,1
AKR_J,100-500,1
AKR_J,500-1000,1
AKR_J,1000+,1
AKR_J,100-500,1
AKR_J,1000+,1
AKR_J,500-1000,1
AKR_J,1000+,1
AKR_J,1000+,1
AKR_J,1000+,1
AKR_J,1000+,1
AKR_J,1000+,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,1000+,1
AKR_J,500-1000,1
AKR_J,1000+,1
AKR_J,1000+,1
AKR_J,1000+,1
AKR_J,100-500,1
AKR_J,1000+,1
AKR_J,100-500,1
AKR_J,1000+,1
AKR_J,1000+,1
AKR_J,1000+,1
AKR_J,1000+,1
AKR_J,500-1000,1
AKR_J,500-1000,1
AKR_J,1000+,1
AKR_J,100-500,1
AKR_J,1000+,1
AKR_J,500-1000,1
AKR_J,500-1000,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,1000+,1
AKR_J,1000+,1
AKR_J,100-500,1
AKR_J,500-1000,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,1000+,1
AKR_J,1000+,1
AKR_J,100-500,1
AKR_J,1000+,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,50-100,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,1000+,1
AKR_J,500-1000,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,500-1000,1
AKR_J,1000+,1
AKR_J,100-500,1
AKR_J,500-1000,1
AKR_J,1000+,1
AKR_J,1000+,1
AKR_J,500-1000,1
AKR_J,1000+,1
AKR_J,100-500,1
AKR_J,500-1000,1
AKR_J,500-1000,1
AKR_J,500-1000,1
AKR_J,500-1000,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,1000+,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,1000+,1
AKR_J,500-1000,1
AKR_J,500-1000,1
AKR_J,50-100,1
AKR_J,1000+,1
AKR_J,500-1000,1
AKR_J,50-100,1
AKR_J,1000+,1
AKR_J,100-500,1
AKR_J,500-1000,1
AKR_J,1000+,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,500-1000,1
AKR_J,1000+,1
AKR_J,500-1000,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,1000+,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,500-1000,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,50-100,1
AKR_J,500-1000,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,500-1000,1
AKR_J,50-100,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,500-1000,1
AKR_J,1000+,1
AKR_J,100-500,1
AKR_J,1000+,1
AKR_J,1000+,1
AKR_J,100-500,1
AKR_J,500-1000,1
AKR_J,100-500,1
AKR_J,500-1000,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,1000+,1
AKR_J,100-500,1
AKR_J,1000+,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,500-1000,1
AKR_J,100-500,1
AKR_J,1000+,1
AKR_J,1000+,1
AKR_J,1000+,1
AKR_J,100-500,1
AKR_J,50-100,1
AKR_J,1000+,1
AKR_J,1000+,1
AKR_J,100-500,1
AKR_J,1000+,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,1000+,1
AKR_J,50-100,1
AKR_J,50-100,1
AKR_J,50-100,1
AKR_J,1000+,1
AKR_J,500-1000,1
AKR_J,1000+,1
AKR_J,1000+,1
AKR_J,100-500,1
AKR_J,500-1000,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,1000+,1
AKR_J,1000+,1
AKR_J,1000+,1
AKR_J,1000+,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,500-1000,1
AKR_J,100-500,1
AKR_J,500-1000,1
AKR_J,100-500,1
AKR_J,1000+,1
AKR_J,500-1000,1
AKR_J,1000+,1
AKR_J,500-1000,1
AKR_J,100-500,1
AKR_J,500-1000,1
AKR_J,1000+,1
AKR_J,100-500,1
AKR_J,50-100,1
AKR_J,50-100,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,500-1000,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,50-100,1
AKR_J,500-1000,1
AKR_J,500-1000,1
AKR_J,50-100,1
AKR_J,100-500,1
AKR_J,50-100,1
AKR_J,100-500,1
AKR_J,1000+,1
AKR_J,1000+,1
AKR_J,500-1000,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,1000+,1
AKR_J,1000+,1
AKR_J,500-1000,1
AKR_J,1000+,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,1000+,1
AKR_J,500-1000,1
AKR_J,1000+,1
AKR_J,500-1000,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,50-100,1
AKR_J,100-500,1
AKR_J,50-100,1
AKR_J,1000+,1
AKR_J,1000+,1
AKR_J,500-1000,1
AKR_J,500-1000,1
AKR_J,1000+,1
AKR_J,1000+,1
AKR_J,1000+,1
AKR_J,100-500,1
AKR_J,1000+,1
AKR_J,500-1000,1
AKR_J,100-500,1
AKR_J,1000+,1
AKR_J,500-1000,1
AKR_J,50-100,1
AKR_J,100-500,1
AKR_J,50-100,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,1000+,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,50-100,1
AKR_J,50-100,1
AKR_J,1000+,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,50-100,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,1000+,1
AKR_J,1000+,1
AKR_J,500-1000,1
AKR_J,500-1000,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,500-1000,1
AKR_J,1000+,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,500-1000,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,1000+,1
AKR_J,100-500,1
AKR_J,1000+,1
AKR_J,1000+,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,100-500,1
AKR_J,500-1000,1
AKR_J,100-500,1
AKR_J,1000+,1
AKR_J,1000+,1
A_J,500-1000,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,1000+,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,500-1000,1
A_J,100-500,1
A_J,100-500,1
A_J,1000+,1
A_J,1000+,1
A_J,100-500,1
A_J,50-100,1
A_J,1000+,1
A_J,1000+,1
A_J,1000+,1
A_J,1000+,1
A_J,1000+,1
A_J,1000+,1
A_J,1000+,1
A_J,1000+,1
A_J,50-100,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,50-100,1
A_J,500-1000,1
A_J,500-1000,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,1000+,1
A_J,100-500,1
A_J,1000+,1
A_J,100-500,1
A_J,1000+,1
A_J,500-1000,1
A_J,1000+,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,1000+,1
A_J,500-1000,1
A_J,100-500,1
A_J,50-100,1
A_J,1000+,1
A_J,1000+,1
A_J,1000+,1
A_J,1000+,1
A_J,100-500,1
A_J,1000+,1
A_J,50-100,1
A_J,100-500,1
A_J,1000+,1
A_J,1000+,1
A_J,500-1000,1
A_J,1000+,1
A_J,50-100,1
A_J,100-500,1
A_J,500-1000,1
A_J,1000+,1
A_J,100-500,1
A_J,50-100,1
A_J,100-500,1
A_J,100-500,1
A_J,1000+,1
A_J,100-500,1
A_J,1000+,1
A_J,100-500,1
A_J,1000+,1
A_J,1000+,1
A_J,100-500,1
A_J,500-1000,1
A_J,1000+,1
A_J,50-100,1
A_J,50-100,1
A_J,500-1000,1
A_J,1000+,1
A_J,1000+,1
A_J,1000+,1
A_J,50-100,1
A_J,50-100,1
A_J,100-500,1
A_J,1000+,1
A_J,100-500,1
A_J,100-500,1
A_J,1000+,1
A_J,100-500,1
A_J,50-100,1
A_J,100-500,1
A_J,1000+,1
A_J,1000+,1
A_J,1000+,1
A_J,100-500,1
A_J,100-500,1
A_J,1000+,1
A_J,50-100,1
A_J,500-1000,1
A_J,100-500,1
A_J,100-500,1
A_J,1000+,1
A_J,100-500,1
A_J,1000+,1
A_J,100-500,1
A_J,1000+,1
A_J,1000+,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,500-1000,1
A_J,1000+,1
A_J,100-500,1
A_J,500-1000,1
A_J,1000+,1
A_J,50-100,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,1000+,1
A_J,1000+,1
A_J,100-500,1
A_J,100-500,1
A_J,50-100,1
A_J,100-500,1
A_J,100-500,1
A_J,1000+,1
A_J,100-500,1
A_J,100-500,1
A_J,500-1000,1
A_J,1000+,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,500-1000,1
A_J,100-500,1
A_J,100-500,1
A_J,1000+,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,1000+,1
A_J,500-1000,1
A_J,1000+,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,1000+,1
A_J,1000+,1
A_J,1000+,1
A_J,100-500,1
A_J,100-500,1
A_J,500-1000,1
A_J,500-1000,1
A_J,100-500,1
A_J,100-500,1
A_J,1000+,1
A_J,50-100,1
A_J,100-500,1
A_J,1000+,1
A_J,1000+,1
A_J,100-500,1
A_J,50-100,1
A_J,1000+,1
A_J,1000+,1
A_J,1000+,1
A_J,500-1000,1
A_J,500-1000,1
A_J,1000+,1
A_J,500-1000,1
A_J,100-500,1
A_J,500-1000,1
A_J,100-500,1
A_J,100-500,1
A_J,500-1000,1
A_J,1000+,1
A_J,1000+,1
A_J,1000+,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,1000+,1
A_J,100-500,1
A_J,1000+,1
A_J,500-1000,1
A_J,1000+,1
A_J,50-100,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,1000+,1
A_J,500-1000,1
A_J,100-500,1
A_J,1000+,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,1000+,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,1000+,1
A_J,100-500,1
A_J,100-500,1
A_J,500-1000,1
A_J,100-500,1
A_J,500-1000,1
A_J,500-1000,1
A_J,100-500,1
A_J,500-1000,1
A_J,500-1000,1
A_J,1000+,1
A_J,100-500,1
A_J,1000+,1
A_J,100-500,1
A_J,100-500,1
A_J,1000+,1
A_J,50-100,1
A_J,100-500,1
A_J,500-1000,1
A_J,100-500,1
A_J,50-100,1
A_J,100-500,1
A_J,1000+,1
A_J,100-500,1
A_J,1000+,1
A_J,500-1000,1
A_J,1000+,1
A_J,1000+,1
A_J,1000+,1
A_J,1000+,1
A_J,1000+,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,1000+,1
A_J,500-1000,1
A_J,1000+,1
A_J,1000+,1
A_J,1000+,1
A_J,100-500,1
A_J,1000+,1
A_J,100-500,1
A_J,1000+,1
A_J,1000+,1
A_J,1000+,1
A_J,1000+,1
A_J,500-1000,1
A_J,500-1000,1
A_J,1000+,1
A_J,100-500,1
A_J,1000+,1
A_J,500-1000,1
A_J,500-1000,1
A_J,100-500,1
A_J,100-500,1
A_J,1000+,1
A_J,1000+,1
A_J,100-500,1
A_J,500-1000,1
A_J,100-500,1
A_J,100-500,1
A_J,1000+,1
A_J,1000+,1
A_J,100-500,1
A_J,1000+,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,1000+,1
A_J,500-1000,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,50-100,1
A_J,1000+,1
A_J,100-500,1
A_J,100-500,1
A_J,1000+,1
A_J,500-1000,1
A_J,100-500,1
A_J,100-500,1
A_J,500-1000,1
A_J,100-500,1
A_J,1000+,1
A_J,1000+,1
A_J,500-1000,1
A_J,1000+,1
A_J,100-500,1
A_J,500-1000,1
A_J,500-1000,1
A_J,500-1000,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,1000+,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,1000+,1
A_J,100-500,1
A_J,1000+,1
A_J,1000+,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,50-100,1
A_J,100-500,1
A_J,500-1000,1
A_J,500-1000,1
A_J,1000+,1
A_J,1000+,1
A_J,100-500,1
A_J,500-1000,1
A_J,1000+,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,500-1000,1
A_J,1000+,1
A_J,500-1000,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,1000+,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,500-1000,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,50-100,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,50-100,1
A_J,100-500,1
A_J,500-1000,1
A_J,50-100,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,500-1000,1
A_J,1000+,1
A_J,100-500,1
A_J,1000+,1
A_J,100-500,1
A_J,1000+,1
A_J,500-1000,1
A_J,500-1000,1
A_J,500-1000,1
A_J,100-500,1
A_J,500-1000,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,1000+,1
A_J,100-500,1
A_J,100-500,1
A_J,500-1000,1
A_J,100-500,1
A_J,100-500,1
A_J,500-1000,1
A_J,100-500,1
A_J,1000+,1
A_J,1000+,1
A_J,1000+,1
A_J,100-500,1
A_J,50-100,1
A_J,1000+,1
A_J,100-500,1
A_J,1000+,1
A_J,1000+,1
A_J,1000+,1
A_J,50-100,1
A_J,50-100,1
A_J,1000+,1
A_J,500-1000,1
A_J,1000+,1
A_J,1000+,1
A_J,1000+,1
A_J,1000+,1
A_J,100-500,1
A_J,100-500,1
A_J,1000+,1
A_J,1000+,1
A_J,1000+,1
A_J,100-500,1
A_J,500-1000,1
A_J,100-500,1
A_J,1000+,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,1000+,1
A_J,500-1000,1
A_J,500-1000,1
A_J,100-500,1
A_J,100-500,1
A_J,1000+,1
A_J,1000+,1
A_J,1000+,1
A_J,500-1000,1
A_J,1000+,1
A_J,100-500,1
A_J,100-500,1
A_J,1000+,1
A_J,500-1000,1
A_J,1000+,1
A_J,500-1000,1
A_J,100-500,1
A_J,100-500,1
A_J,50-100,1
A_J,100-500,1
A_J,50-100,1
A_J,1000+,1
A_J,1000+,1
A_J,500-1000,1
A_J,500-1000,1
A_J,1000+,1
A_J,1000+,1
A_J,1000+,1
A_J,100-500,1
A_J,1000+,1
A_J,50-100,1
A_J,100-500,1
A_J,50-100,1
A_J,100-500,1
A_J,1000+,1
A_J,1000+,1
A_J,500-1000,1
A_J,100-500,1
A_J,1000+,1
A_J,500-1000,1
A_J,50-100,1
A_J,100-500,1
A_J,50-100,1
A_J,100-500,1
A_J,100-500,1
A_J,1000+,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,50-100,1
A_J,50-100,1
A_J,1000+,1
A_J,100-500,1
A_J,100-500,1
A_J,50-100,1
A_J,100-500,1
A_J,100-500,1
A_J,1000+,1
A_J,1000+,1
A_J,500-1000,1
A_J,500-1000,1
A_J,100-500,1
A_J,100-500,1
A_J,1000+,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,500-1000,1
A_J,100-500,1
A_J,100-500,1
A_J,1000+,1
A_J,100-500,1
A_J,1000+,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,100-500,1
A_J,500-1000,1
A_J,100-500,1
A_J,1000+,1
A_J,1000+,1
BALB_CJ,500-1000,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,1000+,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,500-1000,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,1000+,1
BALB_CJ,100-500,1
BALB_CJ,50-100,1
BALB_CJ,1000+,1
BALB_CJ,1000+,1
BALB_CJ,1000+,1
BALB_CJ,1000+,1
BALB_CJ,1000+,1
BALB_CJ,1000+,1
BALB_CJ,1000+,1
BALB_CJ,1000+,1
BALB_CJ,50-100,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,50-100,1
BALB_CJ,500-1000,1
BALB_CJ,500-1000,1
BALB_CJ,100-500,1
BALB_CJ,1000+,1
BALB_CJ,500-1000,1
BALB_CJ,1000+,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,1000+,1
BALB_CJ,500-1000,1
BALB_CJ,100-500,1
BALB_CJ,50-100,1
BALB_CJ,1000+,1
BALB_CJ,1000+,1
BALB_CJ,1000+,1
BALB_CJ,1000+,1
BALB_CJ,100-500,1
BALB_CJ,1000+,1
BALB_CJ,50-100,1
BALB_CJ,100-500,1
BALB_CJ,1000+,1
BALB_CJ,500-1000,1
BALB_CJ,1000+,1
BALB_CJ,1000+,1
BALB_CJ,500-1000,1
BALB_CJ,500-1000,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,1000+,1
BALB_CJ,100-500,1
BALB_CJ,1000+,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,50-100,1
BALB_CJ,1000+,1
BALB_CJ,1000+,1
BALB_CJ,1000+,1
BALB_CJ,100-500,1
BALB_CJ,1000+,1
BALB_CJ,1000+,1
BALB_CJ,100-500,1
BALB_CJ,1000+,1
BALB_CJ,50-100,1
BALB_CJ,50-100,1
BALB_CJ,1000+,1
BALB_CJ,100-500,1
BALB_CJ,500-1000,1
BALB_CJ,1000+,1
BALB_CJ,100-500,1
BALB_CJ,500-1000,1
BALB_CJ,50-100,1
BALB_CJ,50-100,1
BALB_CJ,500-1000,1
BALB_CJ,1000+,1
BALB_CJ,1000+,1
BALB_CJ,50-100,1
BALB_CJ,100-500,1
BALB_CJ,1000+,1
BALB_CJ,1000+,1
BALB_CJ,1000+,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,1000+,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,1000+,1
BALB_CJ,100-500,1
BALB_CJ,500-1000,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,1000+,1
BALB_CJ,50-100,1
BALB_CJ,500-1000,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,1000+,1
BALB_CJ,100-500,1
BALB_CJ,1000+,1
BALB_CJ,100-500,1
BALB_CJ,1000+,1
BALB_CJ,1000+,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,500-1000,1
BALB_CJ,1000+,1
BALB_CJ,100-500,1
BALB_CJ,500-1000,1
BALB_CJ,1000+,1
BALB_CJ,50-100,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,1000+,1
BALB_CJ,1000+,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,50-100,1
BALB_CJ,1000+,1
BALB_CJ,100-500,1
BALB_CJ,1000+,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,500-1000,1
BALB_CJ,1000+,1
BALB_CJ,1000+,1
BALB_CJ,500-1000,1
BALB_CJ,1000+,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,500-1000,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,500-1000,1
BALB_CJ,100-500,1
BALB_CJ,1000+,1
BALB_CJ,1000+,1
BALB_CJ,50-100,1
BALB_CJ,100-500,1
BALB_CJ,1000+,1
BALB_CJ,1000+,1
BALB_CJ,1000+,1
BALB_CJ,500-1000,1
BALB_CJ,100-500,1
BALB_CJ,1000+,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,100-500,1
BALB_CJ,1000+,1
