,tool,threshold,nTP,nFP,nFN,nTN
1,breakdancer,10,50,3014,3204,24
2,breakdancer,100,1600,1464,1654,795
3,breakdancer,1000,2065,999,1189,1194
5,clever,10,417,12682,2837,185
6,clever,100,2228,10871,1026,1128
7,clever,1000,2566,10533,688,1379
9,delly,10,439,5377,2815,125
10,delly,100,1998,3818,1256,664
11,delly,1000,2259,3557,995,880
13,gasv,10,0,71212,3254,0
14,gasv,100,509,70703,2745,30
15,gasv,1000,2026,69186,1228,257
17,gridss,10,401,15427,2853,43
18,gridss,100,2036,13792,1218,284
19,gridss,1000,2475,13353,779,521
21,indelminer,10,78,68666,3176,3
22,indelminer,100,463,68281,2791,9
23,indelminer,1000,1106,67638,2148,106
25,lumpexpress,10,571,3400,2683,157
26,lumpexpress,100,1920,2051,1334,645
27,lumpexpress,1000,2123,1848,1131,779
29,mistrvar,10,126,40511,3128,1
30,mistrvar,100,737,39900,2517,26
31,mistrvar,1000,1287,39350,1967,156
33,pindel,10,284,498014,2970,6
34,pindel,100,1447,496851,1807,30
35,pindel,1000,2377,495921,877,290
37,popdel,10,52,1346,3202,16
38,popdel,100,1098,300,2156,460
39,popdel,1000,1333,65,1921,600
41,rdxplorer,10,28,15958,3226,7
42,rdxplorer,100,756,15230,2498,151
43,rdxplorer,1000,1371,14615,1883,347
45,smoove,10,577,2123,2677,276
46,smoove,100,1929,771,1325,1114
47,smoove,1000,2109,591,1145,1276
49,sniffles,10,327,980,2927,77
50,sniffles,100,857,450,2397,227
51,sniffles,1000,903,404,2351,257
53,BioGraph*,10,252,2461,3002,95
54,BioGraph*,100,1558,1155,1696,660
55,BioGraph*,1000,1710,1003,1544,769
